# LONE NIGHT — The Crossroads (meta-progression, design.md §13)
# Owner: Jane. Machine-readable. John: parse this; don't invent gold costs.
# Tab-separated. '#' comments and blank lines ignored.
#
# Gold persists between runs. It drops from chests, elites, and 1-in-50 ordinary
# kills. You spend it here, between runs, and it never comes back.
#
# ---- the gold economy: param <name> <value> --------------------------------
# Without these the cost curve below is a number with no denominator. Measured by
# simulating three full 20-minute runs at HEAD, not guessed (full unlock 15,230g):
#
#   kills per run:  passive-hungry 1,317   greedy 6,404   weapon-hungry 11,442
#   (I first wrote this file assuming ~3,000 kills. A typical run is ~6,500, and a
#    weapon build more than triples that. The kill count is not a constant -- it is
#    a function of the build, which is why gold-per-kill has to be small.)
#
#   winning run       1,400g   ->  11 runs to buy everything
#   losing run ~15:00   476g   ->  32 runs
#   Beggar + max Greed  3,150g ->   5 runs
#
# The 11-vs-32 spread is the point: winning is the fast path, so the meta rewards
# getting good rather than grinding losses. The Beggar collapsing it to 5 is also
# the point -- "weak damage, rich runs" is his entire identity, and he costs 900g,
# so you can only choose that shortcut after the meta has already begun.
#
# cost(level) = cost_base * cost_growth^(level-1), rounded to the nearest 10.
# levels = how many times it can be bought. kind: mult | add | unlock.
# stat names match passives.tsv where they overlap, so John reuses one applier.
#
# THE RULE: meta-progression may make a bad run survivable. It may never make a
# good run trivial. Nothing here touches weapon damage scaling or the spawn
# curve; it only moves the floor, never the ceiling. A player who has bought
# everything should still lose to the Countess if they build badly.
#
# ###  THE `note` COLUMN IS PLAYER-FACING COPY. app.ts:458 PRINTS IT IN THE SHOP   ###
# ###  LIST, TRUNCATED TO 24 CHARACTERS. KEEP IT UNDER 24.                         ###
#
# It used to carry my notes to John. Revival's line read `come back once at 50% HP.
# expensive on purpose.` -- the player saw `come back once at 50% ...`. Endless had
# 111 characters of design rationale in it. That rationale is a comment now, below.
#
# id	name	icon	stat	kind	per_level	levels	cost_base	cost_growth	note
#---------------------------------------------------------------------------------------
might	Might	cards/passives/might	damage	mult	0.05	5	100	1.6	+5% damage per level
maxhp	Vigour	cards/passives/regen	max_hp	add	10	5	80	1.6	+10 max HP per level
armour	Armour	cards/passives/armour	flat_reduce	add	1	3	200	2.0	Flat damage reduction
luck	Luck	cards/passives/luck	luck	mult	0.05	4	150	1.7	Chests, gold, rare drops
greed	Greed	cards/passives/magnet	gold_gain	mult	0.10	5	120	1.5	+10% gold per level
reroll	Reroll	cards/passives/haste	rerolls	add	1	3	250	1.8	Reroll a level-up hand
banish	Banish	cards/passives/duration	banishes	add	1	3	250	1.8	Drop a card for the run
# Revival is 1000 gold and grows 2.5x. Expensive ON PURPOSE: it is the one upgrade
# that undoes a mistake, and a cheap undo would flatten the Countess. (That sentence
# used to live in the `note` column, where the player read it.)
revival	Revival	cards/passives/revival	revives	add	1	2	1000	2.5	Return once at 50% HP

# --- characters. one-off unlocks; see characters.tsv for their stats ---------
ashling	The Ashling	sprites/ashling	-	unlock	-	1	400	1.0	Fragile, fast, burns
beggar	The Beggar	sprites/beggar	-	unlock	-	1	900	1.0	Weak damage, rich runs

# --- endless mode. unlocked by seeing dawn, not by gold ----------------------
# FREE, but locked until you first survive the night. The sun never rises; at 30:00
# the Reapers come and cannot be killed. Costing gold would imply you could buy your
# way past the Countess, and you cannot -- you have to beat her. FROZEN per §0 until
# the core is signed off. (This rationale used to be 111 characters of `note`, shown
# to the player through a 24-column window.)
endless	Endless	ui/dawn	-	unlock	-	1	0	1.0	Locked until you win
